Rank,Player,Team,Pos,Snaps,Rating (Press),TFL%
1,Nik Bonitto,DEN,LB,719,0.2128146453089245,0.0744680851063829
2,Myles Garrett,CLE,DL,773,0.2128146453089245,0.1488095238095238
3,Jarran Reed,SEA,DL,632,0.2117962466487935,0.0849420849420849
4,Zach Allen,DEN,DL,971,0.209731543624161,0.0826666666666666
5,Travis Jones,BAL,DL,631,0.2091836734693877,0.0794979079497908
6,Chris Jones,KC,DL,873,0.209009009009009,0.0786163522012578
7,George Karlaftis,KC,DL,947,0.2085470085470085,0.0773480662983425
8,Osa Odighizuwa,DAL,DL,806,0.2043956043956044,0.0484330484330484
9,Will Anderson Jr.,HOU,DL,612,0.2026315789473684,0.125
10,Tershawn Wharton,CAR,DL,727,0.2013274336283186,0.08
11,Jonathon Cooper,DEN,LB,824,0.1971830985915492,0.0703363914373088
12,Nick Bolton,KC,LB,1082,0.1971153846153846,0.0851528384279476
13,Nnamdi Madubuike,BAL,DL,829,0.1956124314442413,0.0851063829787234
14,Leonard Williams,SEA,DL,705,0.1935483870967742,0.066420664206642
15,Justin Strnad,DEN,LB,697,0.1929046563192904,0.089430894308943
16,Derick Hall,SEA,LB,634,0.1924119241192411,0.0716981132075471
17,Cody Barton,TEN,LB,1059,0.1923076923076923,0.0782396088019559
18,Trey Hendrickson,CIN,DL,784,0.1881606765327695,0.067524115755627
19,Za'Darius Smith,PHI,LB,616,0.1881188118811881,0.1084905660377358
20,Azeez Al-Shaair,HOU,LB,642,0.1871657754010695,0.1231343283582089
21,Micah Parsons,GB,LB,649,0.1862244897959183,0.0505836575875486
22,Danielle Hunter,HOU,DL,818,0.1846758349705304,0.116504854368932
23,Eric Kendricks,SF,LB,858,0.1837606837606837,0.0538461538461538
24,B.J. Hill,CIN,DL,669,0.1825396825396825,0.0721649484536082
25,DeMarcus Walker,WAS,DL,703,0.182051282051282,0.1054313099041533
26,Odafe Oweh,LAC,LB,637,0.1816192560175054,0.0777777777777777
27,Kyle Van Noy,BAL,LB,652,0.1814159292035398,0.045
28,T.J. Edwards,CHI,LB,1008,0.1813084112149532,0.0909090909090909
29,Tremaine Edmunds,CHI,LB,1009,0.1809701492537313,0.0909090909090909
30,Vita Vea,TB,DL,711,0.17960088691796,0.0692307692307692
31,Trenton Simpson,BAL,LB,617,0.1785714285714285,0.0830039525691699
32,Chauncey Golston,NYG,DL,736,0.1776155717761557,0.0615384615384615
33,Drue Tranquill,KC,LB,915,0.1771894093686354,0.0896226415094339
34,DeMarvion Overshown,DAL,LB,663,0.1761517615176151,0.0578231292517006
35,Bobby Okereke,NYG,LB,688,0.1752021563342318,0.0977917981072555
36,Roquan Smith,BAL,LB,1033,0.1739130434782608,0.087431693989071
37,Cameron Heyward,PIT,DL,792,0.1710526315789473,0.0922619047619047
38,Greg Rousseau,BUF,DL,819,0.1710261569416499,0.1055900621118012
39,Jonathan Greenard,MIN,LB,915,0.1706081081081081,0.0959752321981424
40,Germaine Pratt,IND,LB,1022,0.1687388987566607,0.0631808278867102
41,Andrew Van Ginkel,MIN,LB,914,0.1683673469387755,0.107361963190184
42,Ed Oliver,BUF,DL,688,0.1678657074340527,0.1143911439114391
43,Blake Cashman,MIN,LB,901,0.1678082191780822,0.1041009463722397
44,Tim Settle,HOU,DL,653,0.1675126903553299,0.1196911196911196
45,Lavonte David,TB,LB,1083,0.1666666666666666,0.0864197530864197
46,T.J. Watt,PIT,LB,950,0.1663747810858143,0.100263852242744
47,Yaya Diaby,TB,LB,797,0.1663405088062622,0.1083916083916083
